type,name_1,name_2
inspection,inspid,inspection_id
inspection,Cleaning,cleaning
inspection,DepthFinishNode,depth_finish_node
inspection,DepthStartNode,depth_start_node
inspection,Direction,direction
inspection,ExpectedLength,expected_length
inspection,Height,height
inspection,InspectorJob,inspector_job
inspection,InspectorName,inspector_name
inspection,InspDate,inspection_date
inspection,InspMethod,inspection_method
inspection,InspPurpose,inspection_purpose
inspection,InspTime,inspection_time
inspection,LiningMaterial,lining_material
inspection,LiningType,lining_type
inspection,Location,location
inspection,Material,material
inspection,Node1Coord,node_1_coord
inspection,Node2Coord,node_2_coord
inspection,Node1Ref,node_1_ref
inspection,Node2Ref,node_2_ref
inspection,PhotoFile,photo_file
inspection,PipeRef,pipe_ref
inspection,Precipitation,precipitation
inspection,SewerUse,sewer_use
inspection,SewSysName,sewer_system
inspection,Shape,shape
inspection,Standard,standard
inspection,StartNodeCoord,start_node_coord
inspection,StartNodeRef,start_node_ref
inspection,Temperature,temperature
inspection,Town,town
inspection,VideoFile,video_file
inspection,Width,width
observation,Char1,char_1
observation,Char2,char_2
observation,Circum1,circum_1
observation,Circum2,circum_2
observation,ContDefectCode,cont_defect
observation,Joint,joint
observation,LongOrVertLoc,position
observation,MainCode,main_code
observation,Quant1,quant_1
observation,Quant2,quant_2
observation,PhotoRef,photo_ref
observation,Remarks,remarks
observation,VideoRef,video_ref
